Writing Image
Write-Pointer 2121408
Write-Pointer 2121440
Write-Pointer 2121472
Write-Pointer 2121504
Write-Pointer 2121536
Write-Pointer 2121568
Write-Pointer 2121600
Write-Pointer 2121632
Write-Pointer 2121664
Write-Pointer 2121696
Write-Pointer 2121728
Write-Pointer 2121760
Write-Pointer 2121792
Write-Pointer 2121824
Write-Pointer 2121856
Write-Pointer 2121888
Write-Pointer 2121920
Write-Pointer 2121952
Write-Pointer 2121984
Write-Pointer 2122016
Write-Pointer 2122048
Write-Pointer 2122080
Write-Pointer 2122112
Write-Pointer 2122144
Write-Pointer 2122176
Write-Pointer 2122208
Write-Pointer 2122240
Write-Pointer 2122272
Write-Pointer 2122304
Write-Pointer 2122336
Write-Pointer 2122368
Write-Pointer 2122400
Write-Pointer 2122432
Write-Pointer 2122464
Write-Pointer 2122496
Write-Pointer 2122528
Write-Pointer 2122560
Write-Pointer 2122592
Write-Pointer 2122624
Write-Pointer 2122656
Write-Pointer 2122688
Write-Pointer 2122720
Write-Pointer 2122752
Write-Pointer 2122784
Write-Pointer 2122816
Write-Pointer 2122848
Write-Pointer 2122880
Write-Pointer 2122912
Write-Pointer 2122944
Write-Pointer 2122976
Write-Pointer 2123008
Write-Pointer 2123040
Write-Pointer 2123072
Write-Pointer 2123104
Write-Pointer 2123136
Write-Pointer 2123168
Write-Pointer 2123200
Write-Pointer 2123232
Write-Pointer 2123264
Write-Pointer 2123296
Write-Pointer 2123328
Write-Pointer 2123360
Write-Pointer 2123392
Write-Pointer 2123424
Write-Pointer 2123456
Write-Pointer 2123488
Write-Pointer 2123520
Write-Pointer 2123552
Write-Pointer 2123584
Write-Pointer 2123616
Write-Pointer 2123648
Write-Pointer 2123680
Write-Pointer 2123712
Write-Pointer 2123744
Write-Pointer 2123776
Write-Pointer 2123808
Write-Pointer 2123840
Write-Pointer 2123872
Write-Pointer 2123904
Write-Pointer 2123936
Write-Pointer 2123968
Write-Pointer 2124000
Write-Pointer 2124032
Write-Pointer 2124064
Write-Pointer 2124096
Write-Pointer 2124128
Write-Pointer 2124160
Write-Pointer 2124192
Write-Pointer 2124224
Write-Pointer 2124256
Write-Pointer 2124288
Write-Pointer 2124320
Write-Pointer 2124352
Write-Pointer 2124384
Write-Pointer 2124416
Write-Pointer 2124448
Write-Pointer 2124480
Write-Pointer 2124512
Write-Pointer 2124544
Write-Pointer 2124576
Write-Pointer 2124608
Write-Pointer 2124640
